TEO,TEI,TCI,GE,GC,TCO,P,COP,PLR
5.96,10.43,30.07,248.35,358.70,33.27,747.92,6.21,0.73
5.97,9.27,29.98,247.09,365.21,32.34,555.48,6.15,0.54
6.01,8.03,29.88,246.67,359.99,31.57,423.60,4.92,0.33
6.05,8.21,29.97,256.15,360.63,31.42,426.48,5.43,0.37
6.01,11.52,30.03,255.41,363.19,34.23,1024.05,5.75,0.93
6.19,9.13,29.91,251.80,359.02,31.83,519.69,5.97,0.49
6.03,9.33,29.91,247.61,361.76,32.82,560.47,6.09,0.54
5.89,9.18,29.81,250.12,362.29,32.45,559.92,6.16,0.54
5.81,8.82,30.15,255.75,359.53,32.23,529.47,6.09,0.51
6.01,8.77,30.06,249.37,363.79,32.60,487.95,5.91,0.46
6.00,10.95,30.13,250.13,362.70,34.22,864.10,5.99,0.82
5.89,12.12,29.84,251.97,360.16,34.53,1204.69,5.45,1.04
6.09,11.52,29.98,252.21,365.90,34.27,984.72,5.82,0.91
6.17,9.30,30.00,249.58,357.09,32.23,545.34,6.00,0.52
5.83,10.95,30.07,247.49,363.60,33.66,893.58,5.94,0.84
6.12,12.00,30.04,251.16,364.13,34.87,1102.37,5.61,0.98
5.93,10.08,30.16,248.59,361.08,33.50,705.57,6.12,0.68
6.19,8.65,29.83,256.39,359.25,31.51,458.09,5.77,0.42
6.02,9.49,30.11,252.91,356.65,33.37,590.40,6.23,0.58
6.04,10.05,29.94,251.61,358.89,33.38,675.83,6.26,0.67
5.84,11.94,30.19,256.18,365.55,35.17,1207.25,5.42,1.03
6.17,9.62,29.81,252.90,364.42,32.93,602.35,6.06,0.58
6.19,9.41,30.06,250.31,362.11,32.83,557.96,6.05,0.53
5.81,9.27,30.09,252.53,362.91,33.03,598.60,6.12,0.58
6.08,8.42,30.03,247.06,365.99,32.08,442.94,5.48,0.38
5.85,11.81,29.94,252.40,360.50,34.67,1143.38,5.50,0.99
6.02,8.84,30.18,254.22,358.39,32.43,499.06,6.01,0.47
5.98,10.61,29.89,251.96,360.35,33.34,793.50,6.15,0.77
6.08,11.36,30.19,255.28,359.10,34.70,966.42,5.84,0.89
5.88,7.72,30.19,249.91,357.41,31.71,396.20,4.85,0.30
5.85,10.61,30.10,252.31,363.60,33.47,823.51,6.10,0.79
6.07,8.56,30.01,250.17,358.19,31.95,468.42,5.56,0.41
6.02,10.35,29.83,251.57,365.65,33.77,751.74,6.07,0.72
5.88,10.77,29.83,254.20,358.55,33.90,867.64,6.00,0.82
6.09,10.85,30.16,248.93,362.31,34.07,814.94,6.09,0.78
5.94,10.04,30.16,255.05,365.70,33.25,716.10,6.11,0.69
5.92,12.04,29.86,252.80,360.75,34.78,1195.08,5.43,1.02
6.01,11.39,29.82,254.70,365.13,34.01,992.08,5.78,0.91
6.08,9.73,30.11,253.14,365.85,32.64,629.42,6.16,0.61
6.01,11.05,30.04,246.84,358.52,33.72,869.02,6.00,0.82
6.16,7.83,30.13,251.94,361.25,31.54,393.09,4.47,0.28
5.98,8.24,29.99,253.23,357.97,31.97,432.99,5.53,0.38
6.05,11.54,29.81,249.61,359.48,34.56,996.67,5.76,0.91
5.96,10.08,29.91,254.22,364.35,33.07,719.86,6.09,0.69
6.09,8.35,30.19,249.58,366.16,32.44,439.19,5.37,0.37
6.01,11.13,30.10,255.05,366.50,34.65,936.25,5.84,0.86
6.03,10.90,29.98,255.95,365.11,33.65,879.12,5.94,0.82
6.04,11.24,30.12,248.99,362.73,34.20,923.65,5.87,0.86
6.00,9.53,29.89,252.82,361.14,32.96,598.81,6.23,0.59
6.00,10.58,30.03,249.01,359.72,33.61,787.54,6.07,0.75
6.12,10.63,30.13,254.74,362.76,34.02,779.30,6.17,0.76
5.91,8.69,30.13,251.63,365.78,32.33,499.10,5.88,0.46
6.15,10.22,30.05,252.62,362.87,33.78,691.19,6.23,0.68
